idx,node00,node01,node02,node03,node04,node05,node06,node07,node08,node09,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21,node22,node23,node24,node25,node26,node27,coupling_X,rep_Y
0,0.13117451320660517,0.16575835257306934,0.18248486480707116,0.18152480899035062,0.175051855259752,0.17533730413654863,0.15487673755053202,0.14819150881687274,0.14884465138770622,0.1562177362914142,0.1576925444798076,0.17120102327435482,0.17256050189724748,0.15868368709569097,0.16584145538290462,0.16315128929843953,0.17909257953538144,0.18387546553098752,0.1834099942682536,0.16457387020094408,0.1654187705758718,0.15593050621833826,0.16158608696288407,0.16577235028686732,0.16108128940553068,0.17996746924839424,0.1653548021543627,0.17413034475062938,100,1
1,0.0024456799102011745,0.08102959106436242,0.052257655175982624,0.0749949317278196,0.09359177520264775,0.09226644665390502,0.06909032447552023,0.049628624917515456,0.059614292564262816,0.07127889739362815,0.08092428227958011,0.04220317116059371,0.0931528273390335,0.06331353930683922,0.07648905605283786,0.02293072046556468,0.11344594083121066,0.1457318488950109,0.12213167826111122,0.06465569121355681,0.10249959351997069,0.007685691536044307,0.029920606087334073,0.06337453806772027,0.052651299746529545,0.11580350857360563,0.05348194317116403,0.055227004393682166,100,1
2,-0.2581474566915758,-0.08673200167246589,-0.20906081038725827,-0.1400343425272089,-0.06635653044413702,-0.06534687765648763,-0.1016689296887182,-0.146858529212273,-0.11810314622252263,-0.09853350889783644,-0.07074229033589446,-0.21169138052488173,-0.06111218250738154,-0.12398760698963902,-0.0990594909771121,-0.25579312069509225,-0.014082662369657502,0.08229025125750873,0.007490729007800736,-0.1324931229622293,-0.011335431087693354,-0.2944969108501327,-0.23297382113051496,-0.13181207885899623,-0.15682795157363044,-0.007546773630214682,-0.1626916244829408,-0.17800992287493772,100,1
3,-0.5665941552258174,-0.27637271826632037,-0.5132714587679335,-0.3929549840771532,-0.24360769666776955,-0.22742102051457708,-0.29671442594065167,-0.3721924744159737,-0.32143351836447775,-0.2943741298219791,-0.24126579841085607,-0.49697955472294986,-0.22799241202680398,-0.33186786390807993,-0.2940964997904611,-0.5752179340344635,-0.15181445638943192,0.040204038173571606,-0.10577879380619944,-0.3534542651453282,-0.1133064583267659,-0.657364843822448,-0.5362097899750816,-0.3372975705447012,-0.3827030363971825,-0.13731425388419036,-0.39594273789987955,-0.4375157386890922,100,1
4,-0.7914258771949125,-0.39788474664720397,-0.7265455206451877,-0.5737287084498673,-0.34915171959479335,-0.3004735286598974,-0.42498830797778425,-0.5223035170620786,-0.45559401095417135,-0.42680245390298915,-0.3482201226078112,-0.681771486580931,-0.3188705137481226,-0.45668555308909364,-0.4123108714323782,-0.7933612672059301,-0.22589864736305895,0.0724330677251648,-0.14539103202997775,-0.4912213141659877,-0.12519925993491754,-0.9327328651648251,-0.7449340718863877,-0.4457933046119914,-0.5099833179559323,-0.19970315956822574,-0.5298657511084709,-0.5991116751762997,100,1
5,-0.8442471536167254,-0.39255064716294846,-0.7626483422341591,-0.6065656631670847,-0.32550538104592364,-0.23086664431664755,-0.4260562959453785,-0.5277596849275895,-0.4568907239835719,-0.43541004762360774,-0.33786585579690426,-0.6905627571813069,-0.277861205157815,-0.4321896335635133,-0.39244656074315654,-0.8256143945892065,-0.1897404288417948,0.20260522210234908,-0.0695974278910769,-0.47793069735040383,-0.006691919724186135,-1.019721340834792,-0.7747275537807647,-0.4017692834644209,-0.4747436195190036,-0.1492952067528777,-0.50289747376737,-0.590291434418509,100,1
6,-0.7066642487204088,-0.24646492072142828,-0.6088712114604433,-0.4716268695827542,-0.16209478998789575,-0.018697735605411755,-0.2863749324821294,-0.37311915480682534,-0.3105130882529352,-0.3054215036592895,-0.1988286932928243,-0.5241215824148802,-0.09703110228983512,-0.24770144918926998,-0.22263318960946402,-0.6686130870471347,-0.03684769454577276,0.42067428917596045,0.12258677044276574,-0.30146666263406424,0.23536685195048054,-0.8965273819464837,-0.615738801393605,-0.2137117374091671,-0.2803767365497024,0.018681401487297192,-0.31959957666288963,-0.4095155507498232,100,1
7,-0.41589704374502645,0.01780519728326389,-0.3092760166172023,-0.19646709740647422,0.11387005961332257,0.29434001728130904,-0.030424067442108745,-0.08744772740475117,-0.04229339829726223,-0.05970039929619544,0.045995926552577546,-0.2364543396299818,0.19334608039860895,0.06306180919927185,0.0695442767579191,-0.37822834978009123,0.20772356502334752,0.6935748051637882,0.4008894767867966,0.0061480775047953184,0.5602967605717095,-0.608061656781644,-0.3159604735901024,0.06628140891388434,0.02174080574999313,0.2771483883976493,-0.029301648643537317,-0.10720888977327148,100,1
8,-0.03718610133576171,0.355429416650097,0.06587439865219559,0.16493087568181902,0.4553327827158933,0.6479440464533038,0.2967618746144518,0.27627794328069327,0.2999516336559911,0.25842535397065186,0.35468338823844414,0.09901033561081013,0.5436118034377231,0.4437697771990427,0.43368765047860797,-0.033184816610384305,0.503133086628508,0.9793998918045195,0.7198921839171752,0.3881184130472024,0.9132933862471202,-0.2327240658807095,0.05020900596653899,0.37160377155476765,0.3620493093711605,0.583158913330289,0.29992441857557717,0.24507456802771727,100,1
9,0.3596760543022199,0.7155573534229859,0.4458333545961937,0.5532316198990644,0.8120588304324413,0.9842829718249569,0.6460973838785139,0.6609246240676209,0.6643722696510936,0.601439475287921,0.6813912837359299,0.4153368324719745,0.9019079505942142,0.835528069339036,0.8143742372470093,0.2946502212358756,0.8067545197939298,1.238913305627811,1.0336290440132068,0.7832661097449791,1.2421996196597196,0.1509352915510595,0.4106767433036976,0.6440468885512471,0.6772572964514247,0.892607938988616,0.6047692777540453,0.5807253565047287,100,1
